ispit,crosscul,egy_fe_fam_ll,egy_fe_fam_OR,egy_fe_fam_RR,egy_fe_unfam_LL,egy_fe_unfam_OR,egy_fe_unfam_RR,egy_m_fam_ll,egy_m_fam_OR,egy_m_fam_RR,egy_m_unfam_LL,egy_m_unfam_OR,egy_m_unfam_RR,srb_fe_fam_LL,srb_fe_fam_OR,srb_fe_fam_RR,srb_fe_unfam_LL,srb_fe_unfam_OR,srb_fe_unfam_RR,srb_m_fam_LL,srb_m_fam_OR,srb_m_fam_RR,srb_m_unfam_LL,srb_m_unfam_OR,srb_m_unfam_RR
1,egy,2.5,3.833333333,2.666666667,3.5,2.833333333,2.333333333,2.833333333,2.166666667,2.666666667,2.833333333,3.833333333,3,2.666666667,4.333333333,2.166666667,3.5,3.5,2.833333333,3.166666667,2.833333333,3.5,2.166666667,2.666666667,3
2,egy,4,4,4.5,3.666666667,3.833333333,4,3.5,3.666666667,3.5,3.333333333,3.666666667,4,3.5,4,3.833333333,4.166666667,3.833333333,4.166666667,3.833333333,4,3.833333333,3.666666667,4.5,3.666666667
3,egy,3.666666667,3.833333333,3.333333333,3.833333333,3.5,3.666666667,3.666666667,3.166666667,3.166666667,3.666666667,3,3.5,3.166666667,3.333333333,3.666666667,4.5,3.5,3.5,4.666666667,2.666666667,3.666666667,3.666666667,3.333333333,3.666666667
4,egy,3.333333333,3.333333333,3.666666667,4.5,4.333333333,3.666666667,3.5,3.5,3.333333333,3.166666667,3.333333333,3.5,4,4,3.666666667,3.833333333,4,3.833333333,3.5,3.333333333,3.166666667,3.333333333,3.833333333,3.166666667
5,egy,3.833333333,3.833333333,3.666666667,3.333333333,4.666666667,3.5,3.333333333,3.666666667,3.5,3.666666667,3.166666667,3.666666667,3.833333333,4,3.666666667,3.5,4.666666667,3.666666667,3.333333333,3.166666667,3.333333333,3.333333333,3.333333333,3.5
6,egy,3.5,4,3.5,3.166666667,4.333333333,4,3.833333333,3.833333333,3.833333333,3.833333333,3.833333333,3.833333333,3,3.5,3.5,3.333333333,3.666666667,3.333333333,4.166666667,3.833333333,3.833333333,3,3.666666667,4
7,egy,3,3,4,3.5,4,3.833333333,4.333333333,3.333333333,3.666666667,2.666666667,3.333333333,3.333333333,2.833333333,3.166666667,3.333333333,3.833333333,3.5,2.833333333,3.333333333,3.333333333,4.166666667,3,3.166666667,3.5
8,egy,2.5,3,2.333333333,2.333333333,2.333333333,2.666666667,2.333333333,2.5,2.166666667,2.833333333,2.666666667,2.666666667,3.166666667,2.833333333,2.666666667,3.333333333,2.666666667,2.833333333,2.166666667,2.666666667,2,2.333333333,2.5,2.5
9,egy,3.333333333,4,4,4,4,4.5,4,3.666666667,3,3.5,3.833333333,4,3.833333333,3.666666667,4.166666667,4.5,3.666666667,4,3.5,3.5,3.333333333,3.666666667,3.666666667,3.666666667
10,egy,4.333333333,3.333333333,4,4.166666667,4.5,4.166666667,4.166666667,3.333333333,4.5,4,3,3.666666667,3.666666667,3.5,4,3.833333333,3.666666667,4,4.166666667,4.166666667,4.166666667,3.333333333,4,3.833333333
11,egy,3.666666667,3.5,3.833333333,4,4,3.666666667,4,3.333333333,4.166666667,3.666666667,3.166666667,3,3.833333333,3.5,3.166666667,3.833333333,4.333333333,3.833333333,4.166666667,3.5,4.166666667,3.833333333,4,4.166666667
12,egy,3,3.166666667,4,3.666666667,3.666666667,3.333333333,3.333333333,3.333333333,3.666666667,3.333333333,3.666666667,3.666666667,3.666666667,3.666666667,3.166666667,3.666666667,3.5,3.666666667,3.666666667,3.833333333,3.333333333,3.166666667,3.666666667,3
13,egy,4.166666667,4.333333333,4.5,3.833333333,4,3.666666667,3.666666667,3.666666667,3.666666667,4,4,3.833333333,4.5,3.666666667,5,3.5,3.666666667,3.666666667,3.5,3.833333333,4.5,4.333333333,3.833333333,4.166666667
14,egy,4,4,3.666666667,4.5,3.5,3.666666667,4.166666667,3.166666667,3.5,3.333333333,4.333333333,3.833333333,4.166666667,4,3.5,4,4.166666667,3.833333333,4.166666667,3.666666667,4.333333333,4.166666667,4.166666667,3.833333333
15,egy,3.5,2.833333333,3.833333333,3.833333333,3.5,3.5,3.5,3.5,3.5,3.333333333,3.166666667,3,3.833333333,3.5,3.166666667,4.333333333,3.333333333,3.666666667,4.166666667,2.833333333,3.5,3.5,4.166666667,3.5
16,egy,3.333333333,4.333333333,3.5,4.333333333,4,3.833333333,3.333333333,3.333333333,3.166666667,4.166666667,3.5,3.833333333,3.5,4,3.833333333,3.833333333,4,4.166666667,4.166666667,3.666666667,4.166666667,3.333333333,3.833333333,3.666666667
17,egy,3.666666667,4.5,4.666666667,4,4.166666667,4.166666667,3.5,4.166666667,4.166666667,4.166666667,4.166666667,4.333333333,3.666666667,3.833333333,3.666666667,4,4.166666667,4.5,4.333333333,4.333333333,4.166666667,3.833333333,3.666666667,4
18,egy,3.333333333,3.5,3.833333333,3.333333333,4.333333333,4.333333333,3.666666667,3.833333333,3.166666667,3.833333333,3.666666667,3.5,4,3.166666667,3.5,3.666666667,4,3.5,3.833333333,3.666666667,3.666666667,3.666666667,3.666666667,3.666666667
19,egy,3.333333333,3.333333333,3.5,3,4.333333333,3.666666667,3.166666667,3.166666667,3.666666667,3.5,3.5,4,3.666666667,3.333333333,3.833333333,3.5,3.666666667,3.833333333,3.333333333,3.333333333,3.666666667,3.666666667,3.833333333,3.833333333
20,egy,3.666666667,3.333333333,3.333333333,3.333333333,3.5,3.666666667,3.166666667,3.166666667,3.166666667,3.166666667,3.166666667,3.5,3.5,3.666666667,3.333333333,3.333333333,3.166666667,3.5,3.5,3.166666667,3.666666667,3.166666667,3.166666667,3.333333333
21,egy,3.5,3.333333333,3.833333333,3,3.5,3.5,3,3.166666667,3.166666667,3.166666667,3.333333333,3.833333333,3.5,3,3.333333333,3.166666667,3.5,3,3.166666667,3.166666667,3,3.5,3.5,3
22,egy,3.833333333,3.5,3.666666667,3.666666667,4,3.5,4.5,4.166666667,3.833333333,4.166666667,3.333333333,4.333333333,3.333333333,3.166666667,3.833333333,4,3.333333333,3.5,3,4.333333333,3.666666667,3,4,3.333333333
23,egy,3.166666667,3,3.333333333,3.5,3.166666667,3.5,3.666666667,3,3.333333333,3.333333333,3.5,3,3,3,3,3.166666667,3.666666667,3,3.333333333,3.166666667,3.166666667,3.166666667,3.333333333,3.333333333
24,srb,2,1.333333333,2.333333333,1.5,3.166666667,3.666666667,3.333333333,3,2.166666667,2.666666667,2.5,1.833333333,1.666666667,1.333333333,2.333333333,1.666666667,1.333333333,2.5,3.333333333,3,2.333333333,2.5,1.833333333,1.166666667
25,srb,2.833333333,2.666666667,2.5,1.666666667,3,4,2.833333333,2,2.166666667,3.166666667,2.833333333,2.166666667,1.833333333,2,1.666666667,1.333333333,1.5,2,3.333333333,2.666666667,1.666666667,2.166666667,1.5,2
26,srb,2.166666667,1.333333333,2.166666667,2,2.666666667,3.833333333,3,2.833333333,1.333333333,1.833333333,1.833333333,2.166666667,1.666666667,1,1.833333333,1.333333333,1,1.666666667,2.5,3,2.333333333,2.333333333,1.166666667,1.166666667
27,srb,1.666666667,1,1.166666667,1.5,3.666666667,3.166666667,2.666666667,2.5,1.666666667,2,1.833333333,2.166666667,1.5,1.333333333,1.666666667,1.833333333,1.333333333,2.166666667,3.166666667,3.333333333,2.333333333,2.333333333,1.666666667,1
28,srb,1.333333333,1.166666667,1.5,1.333333333,2,2.333333333,2.166666667,1.833333333,1.5,1.666666667,1.333333333,1.666666667,1.5,1.666666667,1.333333333,1.5,1.333333333,1.666666667,2.666666667,2,2.166666667,2.333333333,1.5,1.166666667
29,srb,2.666666667,3,2.166666667,2.333333333,2.833333333,3.833333333,2.5,2.666666667,2.833333333,2.333333333,3,2.666666667,3,2,2,2,2.666666667,2.333333333,2.166666667,2,2.166666667,2.5,2.333333333,2
30,srb,3.166666667,3.333333333,2.666666667,3.166666667,3.5,3.833333333,3.166666667,3.5,3.333333333,3.166666667,3.166666667,2.5,3.166666667,2.666666667,3,2.666666667,2.5,3.166666667,3.333333333,3.5,3.166666667,3.333333333,2.833333333,2.666666667
31,srb,1,1,1.5,1,3,3.5,3.166666667,3.833333333,1,1.166666667,1,1,1.5,1.333333333,1.166666667,1.166666667,1,2.666666667,3.333333333,3.166666667,3.333333333,3.166666667,2,1
32,srb,2.333333333,2,2.833333333,1.5,4.333333333,4.5,3.5,4.333333333,1.5,1.333333333,1.666666667,2.666666667,2.166666667,2.833333333,1.333333333,2.333333333,2,2.333333333,2.5,4.333333333,3,3.666666667,1,1
33,srb,3.666666667,3.166666667,2.833333333,3,4.166666667,4.166666667,3.166666667,2.833333333,3.333333333,3.833333333,3,3,2.833333333,2.666666667,2.333333333,2.166666667,2.5,2.833333333,2.833333333,3.333333333,2.5,2.833333333,2.666666667,2.333333333
34,srb,2.5,2.166666667,2.333333333,2.5,2.666666667,3,2.5,3,2.333333333,2.833333333,2.5,2.333333333,2.666666667,2.333333333,2.5,2.166666667,2.666666667,2.5,2.833333333,2.666666667,2.666666667,2.833333333,2,2.833333333
35,srb,2.833333333,2.166666667,2.833333333,2.333333333,4.5,4.333333333,3.166666667,2.833333333,3.166666667,3.166666667,2.833333333,2.666666667,2,2.166666667,3,2,2.666666667,2.666666667,4.5,4.333333333,3.333333333,3.166666667,2.166666667,3
36,srb,3.5,2.5,3,3.166666667,3.166666667,4,3.5,3.333333333,2.666666667,3.5,2.833333333,3.166666667,3,2.166666667,2.833333333,2.833333333,2.666666667,2.5,3,3.333333333,3.166666667,3,2.166666667,2.166666667
37,srb,1.833333333,1.833333333,1.666666667,1.666666667,3,2.333333333,1.333333333,2,2.166666667,2,2.833333333,1.333333333,1.166666667,1.833333333,1.666666667,1.166666667,1,1.5,2.166666667,2.666666667,1.5,2,1.333333333,2.166666667
38,srb,3.5,3.333333333,2.5,2,3.333333333,3.5,2.5,2.5,3,3,3.166666667,2.333333333,2.5,2.5,2.833333333,2.166666667,2,2.333333333,2.833333333,3.166666667,2.333333333,2.833333333,2.166666667,2.666666667
39,srb,3.166666667,2.666666667,2.5,2.5,3.333333333,3.333333333,2.5,2.5,2.333333333,2.833333333,2.333333333,2.333333333,1.833333333,2,1.833333333,2,2,1.666666667,2.5,2.333333333,2.833333333,2.833333333,1.666666667,2.5
40,srb,3,2.166666667,1.666666667,1.5,2.833333333,3,1.333333333,2,2.166666667,2.833333333,1.833333333,1.666666667,1.5,1.5,2,1.5,2,2.166666667,2.833333333,2.5,2,1.833333333,2.166666667,2
41,srb,3,2.333333333,2.666666667,2.666666667,3,3.666666667,2.833333333,3.166666667,2.5,2.5,2.666666667,2.833333333,2.333333333,1.833333333,2.666666667,2.166666667,2,2.5,2.833333333,3.333333333,2.666666667,2.666666667,2.166666667,1.666666667
42,srb,3,2.333333333,1.833333333,2.166666667,4.333333333,4.666666667,3.166666667,2.666666667,2.833333333,2.833333333,2.5,1.666666667,1.833333333,1.166666667,1.666666667,1.166666667,2.5,2,2.833333333,2.833333333,1.833333333,3.666666667,1,1.5
43,srb,3.5,3,2.5,3,3.5,3.666666667,2.333333333,3,3.166666667,3.833333333,3,2.833333333,2.166666667,3,2.5,2.5,3.333333333,2.666666667,3.333333333,2.833333333,2.833333333,2.833333333,2.166666667,2.5
