ispit,crosscul,egy_fe_fam_ll,egy_fe_fam_OR,egy_fe_fam_RR,egy_fe_unfam_LL,egy_fe_unfam_OR,egy_fe_unfam_RR,egy_m_fam_ll,egy_m_fam_OR,egy_m_fam_RR,egy_m_unfam_LL,egy_m_unfam_OR,egy_m_unfam_RR,srb_fe_fam_LL,srb_fe_fam_OR,srb_fe_fam_RR,srb_fe_unfam_LL,srb_fe_unfam_OR,srb_fe_unfam_RR,srb_m_fam_LL,srb_m_fam_OR,srb_m_fam_RR,srb_m_unfam_LL,srb_m_unfam_OR,srb_m_unfam_RR
77,srb,2,1.166666667,1.666666667,1.5,3.166666667,3.166666667,2.833333333,3,1.666666667,1.666666667,1.333333333,1.333333333,1.666666667,1.333333333,1.666666667,1.5,1.666666667,2.666666667,3.166666667,3.666666667,3.5,2.666666667,1.666666667,1.333333333
78,srb,1.833333333,1.333333333,1.333333333,1.166666667,1.666666667,1.5,1.333333333,1.5,1.5,1.333333333,1.333333333,1.166666667,1.166666667,1,1.333333333,1,1,1.166666667,1.166666667,1.5,1,1,1,1
79,srb,1.5,1.166666667,1.166666667,1.166666667,2,2.333333333,1.333333333,1.5,1.333333333,1.333333333,1,1,1.166666667,1.166666667,1.333333333,1,1.166666667,1.5,2.166666667,2.333333333,1.333333333,1.666666667,1,1.333333333
80,srb,1.166666667,1.166666667,1,1.333333333,2,3,1,1.833333333,1.5,1.833333333,1.333333333,1.166666667,1.166666667,1.166666667,1.333333333,1,1,1.166666667,1.5,1.333333333,1.166666667,1.166666667,1,1.166666667
81,srb,2.5,1.833333333,2.166666667,2.666666667,4.333333333,4.666666667,3.833333333,4,2.333333333,2.666666667,2.5,2.5,2.333333333,2.666666667,3,2.166666667,2.5,3.166666667,3.666666667,4,3.5,3.166666667,2.833333333,2.333333333
82,srb,1,1,1,1,1.166666667,1.166666667,1.666666667,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1,1,1,1
83,srb,2.166666667,1.833333333,2.166666667,1.833333333,3,4,2.5,2.833333333,1.666666667,2.333333333,2.333333333,2.666666667,1.833333333,2.333333333,2.666666667,2.166666667,1.833333333,2.333333333,3.166666667,3,2.5,2.5,1.666666667,2.166666667
84,srb,1,1.333333333,1.333333333,1.5,1.833333333,2.666666667,1,1.833333333,1.333333333,1.833333333,1.166666667,1.166666667,1.166666667,1,1.166666667,1.333333333,1.166666667,2,2,1.666666667,1.666666667,1.666666667,1,1
85,srb,1.5,1.166666667,1.5,1.5,2.333333333,2.333333333,2.166666667,2.333333333,1.5,1.333333333,1.666666667,1.833333333,1.833333333,2,1.833333333,2.166666667,2.166666667,3.333333333,3.333333333,3.5,3.333333333,2.5,1.666666667,1.333333333
86,srb,2.5,1.833333333,2.5,2.166666667,2.5,2.166666667,2.833333333,2.5,2.333333333,2.166666667,2.5,2.333333333,2.333333333,2.333333333,2,2,2.166666667,2,2.833333333,2.333333333,2.333333333,2,2,2.333333333
87,srb,2.333333333,2,2.166666667,2,2.5,3.333333333,2.666666667,2.333333333,1.833333333,2.5,2.833333333,1.5,1.333333333,1.333333333,1.666666667,1.666666667,1.666666667,2,1.333333333,2.166666667,1.833333333,2.5,1.5,1.166666667
88,srb,4.5,4.833333333,3,4.5,4.666666667,5,4,4.166666667,4.166666667,4.833333333,4.5,3.5,4,1.5,3.833333333,2.666666667,3.333333333,3.833333333,2.666666667,4.333333333,2.166666667,3.833333333,3.166666667,1.166666667
89,srb,1.166666667,1.166666667,1,1.166666667,3,4,1.666666667,1.833333333,1.333333333,1.5,1.166666667,1.5,1,1.333333333,1.666666667,1.666666667,1.166666667,1.666666667,2,3,2.166666667,1.333333333,1,1.333333333
90,srb,2.166666667,1.5,1.5,2,2,2,2,1.833333333,1.333333333,2,2,1.666666667,1.333333333,1.666666667,1.666666667,1.333333333,1.333333333,1.833333333,1.833333333,2.5,2,1.666666667,1.333333333,1.666666667
